algorithm,public_key_size,private_or_secret_key_size,wrapped_or_ciphertext_size,session_or_shared_secret_size,total_artifact_size,notes
RSA-OAEP-2048-SHA256,294,1216,256,32,1766,"RSA row includes DER public key, DER private key, and wrapped AES key size."
ML-KEM-768,1184,2400,1088,32,4672,"ML-KEM row includes public key, secret key size, and ciphertext size."
