experiment,case_id,status,expected_result,actual_result,passed,latency_ms,gas_estimate,tx_hash,verifier_address,notes,timestamp
verifyProofAndEmit_event,valid_access_granted,PASS,AccessGranted,AccessGranted,true,81.08,220611,0x444a85a544df0db0e7d12ad653eedef94e38b3e7b525f0553919d9f7dfc528b1,0x5FbDB2315678afecb367f032d93F642f64180aa3,Valid proof should emit AccessGranted.,2026-05-16T14:50:28.467Z
verifyProofAndEmit_event,tampered_access_denied,PASS,AccessDenied,AccessDenied,true,50.58,16260330,0x041dc4d5836fd7ce334910209a08483e927ec1b860c4c9bba9e42e41da2bb589,0x5FbDB2315678afecb367f032d93F642f64180aa3,Tampered proof should emit AccessDenied.,2026-05-16T14:50:28.530Z
