experiment,backend,role_valid,department_valid,authorized,expected_granted,expected_output,dominant_output,dominant_output_matches_expected,success_count,failure_count,success_probability,counts,num_qubits,num_clbits,circuit_depth,transpiled_depth,gate_counts,num_gates,shots,runtime_ms,timestamp,notes
phase3_2_toy_access_policy,aer_simulator,0,0,0,False,0,0,True,1024,0,1.000000,"{""0"": 1024}",5,1,4,4,"{""barrier"": 2, ""ccx"": 3, ""measure"": 1}",6,1024,465.198958,2026-05-16T17:29:19.765603+00:00,"Local Aer simulator only; toy AND policy feasibility circuit; not Groth16, not zero-knowledge, not production access control."
phase3_2_toy_access_policy,aer_simulator,0,0,1,False,0,0,True,1024,0,1.000000,"{""0"": 1024}",5,1,5,5,"{""barrier"": 2, ""ccx"": 3, ""measure"": 1, ""x"": 1}",7,1024,69.439916,2026-05-16T17:29:19.835224+00:00,"Local Aer simulator only; toy AND policy feasibility circuit; not Groth16, not zero-knowledge, not production access control."
phase3_2_toy_access_policy,aer_simulator,0,1,0,False,0,0,True,1024,0,1.000000,"{""0"": 1024}",5,1,5,5,"{""barrier"": 2, ""ccx"": 3, ""measure"": 1, ""x"": 1}",7,1024,66.049417,2026-05-16T17:29:19.901428+00:00,"Local Aer simulator only; toy AND policy feasibility circuit; not Groth16, not zero-knowledge, not production access control."
phase3_2_toy_access_policy,aer_simulator,0,1,1,False,0,0,True,1024,0,1.000000,"{""0"": 1024}",5,1,5,5,"{""barrier"": 2, ""ccx"": 3, ""measure"": 1, ""x"": 2}",8,1024,68.073833,2026-05-16T17:29:19.969652+00:00,"Local Aer simulator only; toy AND policy feasibility circuit; not Groth16, not zero-knowledge, not production access control."
phase3_2_toy_access_policy,aer_simulator,1,0,0,False,0,0,True,1024,0,1.000000,"{""0"": 1024}",5,1,5,5,"{""barrier"": 2, ""ccx"": 3, ""measure"": 1, ""x"": 1}",7,1024,67.468375,2026-05-16T17:29:20.037267+00:00,"Local Aer simulator only; toy AND policy feasibility circuit; not Groth16, not zero-knowledge, not production access control."
phase3_2_toy_access_policy,aer_simulator,1,0,1,False,0,0,True,1024,0,1.000000,"{""0"": 1024}",5,1,5,5,"{""barrier"": 2, ""ccx"": 3, ""measure"": 1, ""x"": 2}",8,1024,67.482208,2026-05-16T17:29:20.104893+00:00,"Local Aer simulator only; toy AND policy feasibility circuit; not Groth16, not zero-knowledge, not production access control."
phase3_2_toy_access_policy,aer_simulator,1,1,0,False,0,0,True,1024,0,1.000000,"{""0"": 1024}",5,1,5,5,"{""barrier"": 2, ""ccx"": 3, ""measure"": 1, ""x"": 2}",8,1024,68.536834,2026-05-16T17:29:20.173583+00:00,"Local Aer simulator only; toy AND policy feasibility circuit; not Groth16, not zero-knowledge, not production access control."
phase3_2_toy_access_policy,aer_simulator,1,1,1,True,1,1,True,1024,0,1.000000,"{""1"": 1024}",5,1,5,5,"{""barrier"": 2, ""ccx"": 3, ""measure"": 1, ""x"": 3}",9,1024,70.174292,2026-05-16T17:29:20.243927+00:00,"Local Aer simulator only; toy AND policy feasibility circuit; not Groth16, not zero-knowledge, not production access control."
