circuit_name,backend_for_transpilation,num_qubits,num_clbits,original_depth,transpiled_depth,original_gate_counts,transpiled_gate_counts,recommended_shots,hardware_suitability,status,notes,timestamp
phase3_1_qrng_max_8_qubits,aer_simulator,8,8,2,2,"{""h"": 8, ""measure"": 8}","{""h"": 8, ""measure"": 8}",1024,READY_FOR_SIMULATOR_ONLY,READY_FOR_SIMULATOR_ONLY,No IBM backend selected because service was not initialized; local simulator fallback used.,2026-05-16T17:57:33.808422+00:00
phase3_2_toy_access_policy_111,aer_simulator,5,1,5,5,"{""barrier"": 2, ""ccx"": 3, ""measure"": 1, ""x"": 3}","{""barrier"": 2, ""ccx"": 3, ""measure"": 1, ""x"": 3}",1024,READY_FOR_SIMULATOR_ONLY,READY_FOR_SIMULATOR_ONLY,No IBM backend selected because service was not initialized; local simulator fallback used.,2026-05-16T17:57:33.876717+00:00
