experiment,backend,num_qubits,shots,total_bits,circuit_depth,num_gates,qiskit_counts,qrng_count_0,qrng_count_1,qrng_zero_ratio,qrng_one_ratio,qrng_shannon_entropy_per_bit,qrng_monobit_balance_error,qrng_longest_run_0,qrng_longest_run_1,qrng_transitions_count,qrng_transitions_ratio,classical_count_0,classical_count_1,classical_zero_ratio,classical_one_ratio,classical_shannon_entropy_per_bit,classical_monobit_balance_error,classical_longest_run_0,classical_longest_run_1,classical_transitions_count,classical_transitions_ratio,runtime_ms,timestamp,notes
phase3_1_qrng_simulator,aer_simulator,1,1024,1024,2,2,"{""0"": 545, ""1"": 479}",545,479,0.532227,0.467773,0.997001,0.032227,9,6,509,0.497556,515,509,0.502930,0.497070,0.999975,0.002930,11,8,479,0.468231,2237.649583,2026-05-16T17:21:46.746365+00:00,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job."
phase3_1_qrng_simulator,aer_simulator,1,4096,4096,2,2,"{""0"": 2018, ""1"": 2078}",2018,2078,0.492676,0.507324,0.999845,0.007324,10,11,2052,0.501099,2018,2078,0.492676,0.507324,0.999845,0.007324,11,14,2023,0.494017,73.037208,2026-05-16T17:21:46.821365+00:00,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job."
phase3_1_qrng_simulator,aer_simulator,2,1024,2048,2,4,"{""00"": 263, ""01"": 251, ""10"": 248, ""11"": 262}",1025,1023,0.500488,0.499512,0.999999,0.000488,15,9,1014,0.495359,1013,1035,0.494629,0.505371,0.999917,0.005371,8,10,1037,0.506595,67.206208,2026-05-16T17:21:46.889539+00:00,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job."
phase3_1_qrng_simulator,aer_simulator,2,4096,8192,2,4,"{""00"": 1005, ""01"": 1042, ""10"": 1046, ""11"": 1003}",4098,4094,0.500244,0.499756,1.000000,0.000244,13,14,4162,0.508119,4070,4122,0.496826,0.503174,0.999971,0.003174,14,15,4097,0.500183,73.035958,2026-05-16T17:21:46.966221+00:00,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job."
phase3_1_qrng_simulator,aer_simulator,4,1024,4096,2,8,"{""0000"": 86, ""0001"": 68, ""0010"": 53, ""0011"": 63, ""0100"": 57, ""0101"": 69, ""0110"": 68, ""0111"": 49, ""1000"": 77, ""1001"": 66, ""1010"": 58, ""1011"": 49, ""1100"": 62, ""1101"": 74, ""1110"": 64, ""1111"": 61}",2117,1979,0.516846,0.483154,0.999181,0.016846,12,11,1995,0.487179,1989,2107,0.485596,0.514404,0.999401,0.014404,11,11,2050,0.500611,70.232834,2026-05-16T17:21:47.038243+00:00,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job."
phase3_1_qrng_simulator,aer_simulator,4,4096,16384,2,8,"{""0000"": 277, ""0001"": 278, ""0010"": 236, ""0011"": 261, ""0100"": 251, ""0101"": 264, ""0110"": 255, ""0111"": 239, ""1000"": 242, ""1001"": 239, ""1010"": 264, ""1011"": 256, ""1100"": 272, ""1101"": 251, ""1110"": 236, ""1111"": 275}",8221,8163,0.501770,0.498230,0.999991,0.001770,17,14,8111,0.495086,8196,8188,0.500244,0.499756,1.000000,0.000244,13,16,8192,0.500031,76.534833,2026-05-16T17:21:47.121765+00:00,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job."
phase3_1_qrng_simulator,aer_simulator,8,1024,8192,2,16,"{""00000000"": 8, ""00000001"": 5, ""00000010"": 3, ""00000011"": 2, ""00000100"": 2, ""00000101"": 6, ""00000110"": 4, ""00000111"": 4, ""00001000"": 2, ""00001001"": 4, ""00001010"": 5, ""00001011"": 3, ""00001100"": 3, ""00001101"": 5, ""00001110"": 3, ""00001111"": 6, ""00010000"": 6, ""00010001"": 2, ""00010010"": 5, ""00010011"": 6, ""00010100"": 6, ""00010101"": 2, ""00010110"": 4, ""00010111"": 4, ""00011000"": 4, ""00011001"": 3, ""00011010"": 3, ""00011011"": 5, ""00011100"": 1, ""00011101"": 5, ""00011110"": 7, ""00011111"": 3, ""00100000"": 2, ""00100001"": 3, ""00100010"": 3, ""00100011"": 4, ""00100100"": 2, ""00100101"": 3, ""00100110"": 6, ""00100111"": 2, ""00101000"": 4, ""00101001"": 5, ""00101010"": 6, ""00101011"": 6, ""00101100"": 2, ""00101101"": 2, ""00101110"": 3, ""00101111"": 3, ""00110000"": 8, ""00110001"": 7, ""00110010"": 4, ""00110011"": 2, ""00110100"": 5, ""00110101"": 4, ""00110110"": 5, ""00110111"": 3, ""00111000"": 3, ""00111001"": 7, ""00111010"": 4, ""00111011"": 2, ""00111100"": 3, ""00111101"": 4, ""00111110"": 5, ""00111111"": 6, ""01000000"": 5, ""01000001"": 2, ""01000010"": 5, ""01000011"": 3, ""01000100"": 6, ""01000101"": 4, ""01000110"": 4, ""01000111"": 6, ""01001000"": 3, ""01001001"": 5, ""01001010"": 4, ""01001011"": 3, ""01001100"": 3, ""01001101"": 2, ""01001110"": 5, ""01001111"": 5, ""01010000"": 5, ""01010001"": 3, ""01010010"": 4, ""01010011"": 1, ""01010100"": 3, ""01010101"": 5, ""01010110"": 3, ""01010111"": 6, ""01011000"": 2, ""01011001"": 4, ""01011010"": 4, ""01011011"": 4, ""01011100"": 1, ""01011101"": 4, ""01011110"": 4, ""01011111"": 2, ""01100000"": 10, ""01100001"": 5, ""01100010"": 5, ""01100011"": 4, ""01100100"": 2, ""01100101"": 3, ""01100110"": 7, ""01100111"": 5, ""01101000"": 3, ""01101001"": 5, ""01101010"": 5, ""01101011"": 4, ""01101100"": 4, ""01101101"": 6, ""01101110"": 4, ""01101111"": 4, ""01110000"": 5, ""01110001"": 5, ""01110010"": 3, ""01110011"": 4, ""01110100"": 3, ""01110101"": 6, ""01110110"": 2, ""01110111"": 3, ""01111000"": 6, ""01111001"": 4, ""01111010"": 3, ""01111011"": 4, ""01111100"": 5, ""01111101"": 2, ""01111110"": 6, ""01111111"": 3, ""10000000"": 4, ""10000001"": 7, ""10000010"": 1, ""10000011"": 8, ""10000100"": 4, ""10000101"": 8, ""10000110"": 2, ""10000111"": 4, ""10001000"": 7, ""10001001"": 1, ""10001010"": 2, ""10001011"": 3, ""10001100"": 4, ""10001101"": 3, ""10001111"": 5, ""10010000"": 4, ""10010001"": 4, ""10010010"": 2, ""10010011"": 6, ""10010100"": 3, ""10010101"": 3, ""10010110"": 3, ""10010111"": 7, ""10011000"": 5, ""10011001"": 2, ""10011010"": 4, ""10011011"": 4, ""10011100"": 2, ""10011101"": 6, ""10011110"": 4, ""10011111"": 5, ""10100000"": 4, ""10100001"": 2, ""10100010"": 2, ""10100011"": 1, ""10100100"": 1, ""10100101"": 4, ""10100110"": 4, ""10100111"": 7, ""10101000"": 2, ""10101001"": 6, ""10101010"": 5, ""10101011"": 2, ""10101100"": 2, ""10101101"": 3, ""10101110"": 5, ""10101111"": 3, ""10110000"": 3, ""10110001"": 7, ""10110010"": 2, ""10110011"": 5, ""10110100"": 9, ""10110101"": 3, ""10110110"": 6, ""10110111"": 2, ""10111000"": 4, ""10111001"": 3, ""10111010"": 4, ""10111011"": 3, ""10111100"": 4, ""10111101"": 6, ""10111110"": 6, ""10111111"": 1, ""11000000"": 7, ""11000001"": 4, ""11000010"": 2, ""11000100"": 1, ""11000101"": 6, ""11000110"": 5, ""11000111"": 6, ""11001000"": 1, ""11001001"": 5, ""11001010"": 2, ""11001011"": 5, ""11001100"": 3, ""11001101"": 1, ""11001110"": 3, ""11001111"": 3, ""11010000"": 4, ""11010001"": 3, ""11010010"": 4, ""11010011"": 6, ""11010100"": 3, ""11010101"": 3, ""11010110"": 3, ""11010111"": 3, ""11011000"": 4, ""11011001"": 1, ""11011010"": 6, ""11011011"": 8, ""11011100"": 5, ""11011101"": 5, ""11011110"": 4, ""11100000"": 1, ""11100001"": 5, ""11100010"": 2, ""11100011"": 7, ""11100100"": 7, ""11100101"": 9, ""11100110"": 4, ""11100111"": 7, ""11101000"": 3, ""11101001"": 5, ""11101010"": 4, ""11101011"": 2, ""11101100"": 3, ""11101101"": 2, ""11101110"": 2, ""11101111"": 3, ""11110000"": 6, ""11110001"": 2, ""11110010"": 7, ""11110011"": 6, ""11110100"": 4, ""11110101"": 3, ""11110110"": 4, ""11110111"": 2, ""11111000"": 7, ""11111001"": 5, ""11111010"": 5, ""11111011"": 2, ""11111100"": 4, ""11111101"": 8, ""11111110"": 6, ""11111111"": 4}",4097,4095,0.500122,0.499878,1.000000,0.000122,15,11,4061,0.495788,4084,4108,0.498535,0.501465,0.999994,0.001465,11,11,4176,0.509828,70.719459,2026-05-16T17:21:47.195955+00:00,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job."
phase3_1_qrng_simulator,aer_simulator,8,4096,32768,2,16,"{""00000000"": 19, ""00000001"": 20, ""00000010"": 25, ""00000011"": 18, ""00000100"": 17, ""00000101"": 17, ""00000110"": 18, ""00000111"": 11, ""00001000"": 18, ""00001001"": 23, ""00001010"": 22, ""00001011"": 17, ""00001100"": 28, ""00001101"": 20, ""00001110"": 15, ""00001111"": 13, ""00010000"": 17, ""00010001"": 20, ""00010010"": 15, ""00010011"": 15, ""00010100"": 18, ""00010101"": 13, ""00010110"": 18, ""00010111"": 19, ""00011000"": 12, ""00011001"": 9, ""00011010"": 12, ""00011011"": 21, ""00011100"": 13, ""00011101"": 11, ""00011110"": 17, ""00011111"": 19, ""00100000"": 23, ""00100001"": 9, ""00100010"": 21, ""00100011"": 15, ""00100100"": 16, ""00100101"": 13, ""00100110"": 15, ""00100111"": 22, ""00101000"": 10, ""00101001"": 20, ""00101010"": 12, ""00101011"": 10, ""00101100"": 21, ""00101101"": 16, ""00101110"": 10, ""00101111"": 11, ""00110000"": 21, ""00110001"": 14, ""00110010"": 13, ""00110011"": 20, ""00110100"": 19, ""00110101"": 9, ""00110110"": 10, ""00110111"": 18, ""00111000"": 11, ""00111001"": 21, ""00111010"": 19, ""00111011"": 18, ""00111100"": 19, ""00111101"": 17, ""00111110"": 17, ""00111111"": 16, ""01000000"": 14, ""01000001"": 18, ""01000010"": 15, ""01000011"": 21, ""01000100"": 13, ""01000101"": 14, ""01000110"": 18, ""01000111"": 15, ""01001000"": 19, ""01001001"": 14, ""01001010"": 12, ""01001011"": 12, ""01001100"": 14, ""01001101"": 15, ""01001110"": 26, ""01001111"": 15, ""01010000"": 13, ""01010001"": 24, ""01010010"": 13, ""01010011"": 11, ""01010100"": 13, ""01010101"": 13, ""01010110"": 16, ""01010111"": 16, ""01011000"": 11, ""01011001"": 14, ""01011010"": 20, ""01011011"": 14, ""01011100"": 11, ""01011101"": 14, ""01011110"": 12, ""01011111"": 18, ""01100000"": 11, ""01100001"": 19, ""01100010"": 14, ""01100011"": 24, ""01100100"": 17, ""01100101"": 14, ""01100110"": 11, ""01100111"": 16, ""01101000"": 13, ""01101001"": 13, ""01101010"": 24, ""01101011"": 18, ""01101100"": 18, ""01101101"": 18, ""01101110"": 19, ""01101111"": 20, ""01110000"": 20, ""01110001"": 13, ""01110010"": 16, ""01110011"": 10, ""01110100"": 14, ""01110101"": 9, ""01110110"": 20, ""01110111"": 18, ""01111000"": 16, ""01111001"": 11, ""01111010"": 13, ""01111011"": 15, ""01111100"": 14, ""01111101"": 17, ""01111110"": 25, ""01111111"": 19, ""10000000"": 19, ""10000001"": 10, ""10000010"": 17, ""10000011"": 13, ""10000100"": 20, ""10000101"": 15, ""10000110"": 15, ""10000111"": 16, ""10001000"": 12, ""10001001"": 17, ""10001010"": 14, ""10001011"": 15, ""10001100"": 18, ""10001101"": 12, ""10001110"": 15, ""10001111"": 18, ""10010000"": 19, ""10010001"": 12, ""10010010"": 13, ""10010011"": 12, ""10010100"": 15, ""10010101"": 24, ""10010110"": 24, ""10010111"": 11, ""10011000"": 9, ""10011001"": 9, ""10011010"": 20, ""10011011"": 16, ""10011100"": 12, ""10011101"": 15, ""10011110"": 19, ""10011111"": 20, ""10100000"": 14, ""10100001"": 14, ""10100010"": 14, ""10100011"": 17, ""10100100"": 17, ""10100101"": 11, ""10100110"": 18, ""10100111"": 17, ""10101000"": 12, ""10101001"": 14, ""10101010"": 15, ""10101011"": 18, ""10101100"": 13, ""10101101"": 19, ""10101110"": 18, ""10101111"": 15, ""10110000"": 22, ""10110001"": 20, ""10110010"": 16, ""10110011"": 21, ""10110100"": 16, ""10110101"": 7, ""10110110"": 17, ""10110111"": 10, ""10111000"": 20, ""10111001"": 15, ""10111010"": 20, ""10111011"": 17, ""10111100"": 13, ""10111101"": 12, ""10111110"": 16, ""10111111"": 14, ""11000000"": 16, ""11000001"": 13, ""11000010"": 19, ""11000011"": 9, ""11000100"": 7, ""11000101"": 15, ""11000110"": 25, ""11000111"": 18, ""11001000"": 18, ""11001001"": 17, ""11001010"": 29, ""11001011"": 17, ""11001100"": 13, ""11001101"": 17, ""11001110"": 12, ""11001111"": 18, ""11010000"": 10, ""11010001"": 17, ""11010010"": 13, ""11010011"": 12, ""11010100"": 11, ""11010101"": 11, ""11010110"": 13, ""11010111"": 14, ""11011000"": 16, ""11011001"": 12, ""11011010"": 23, ""11011011"": 20, ""11011100"": 18, ""11011101"": 10, ""11011110"": 15, ""11011111"": 12, ""11100000"": 15, ""11100001"": 25, ""11100010"": 15, ""11100011"": 19, ""11100100"": 18, ""11100101"": 16, ""11100110"": 22, ""11100111"": 15, ""11101000"": 17, ""11101001"": 12, ""11101010"": 17, ""11101011"": 17, ""11101100"": 17, ""11101101"": 18, ""11101110"": 15, ""11101111"": 16, ""11110000"": 14, ""11110001"": 16, ""11110010"": 19, ""11110011"": 23, ""11110100"": 15, ""11110101"": 10, ""11110110"": 14, ""11110111"": 26, ""11111000"": 23, ""11111001"": 22, ""11111010"": 9, ""11111011"": 13, ""11111100"": 10, ""11111101"": 17, ""11111110"": 27, ""11111111"": 13}",16410,16358,0.500793,0.499207,0.999998,0.000793,14,14,16152,0.492935,16460,16308,0.502319,0.497681,0.999984,0.002319,18,16,16431,0.501450,79.354959,2026-05-16T17:21:47.288980+00:00,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job."
