experiment,backend,num_qubits,shots,total_bits,qrng_zero_ratio,qrng_one_ratio,qrng_shannon_entropy_per_bit,qrng_monobit_balance_error,classical_zero_ratio,classical_one_ratio,classical_shannon_entropy_per_bit,classical_monobit_balance_error,runtime_ms,status,notes,timestamp
phase3_1_qrng_simulator,aer_simulator,1,1024,1024,0.532227,0.467773,0.997001,0.032227,0.502930,0.497070,0.999975,0.002930,2237.649583,PASS,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job.",2026-05-16T17:21:46.746365+00:00
phase3_1_qrng_simulator,aer_simulator,1,4096,4096,0.492676,0.507324,0.999845,0.007324,0.492676,0.507324,0.999845,0.007324,73.037208,PASS,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job.",2026-05-16T17:21:46.821365+00:00
phase3_1_qrng_simulator,aer_simulator,2,1024,2048,0.500488,0.499512,0.999999,0.000488,0.494629,0.505371,0.999917,0.005371,67.206208,PASS,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job.",2026-05-16T17:21:46.889539+00:00
phase3_1_qrng_simulator,aer_simulator,2,4096,8192,0.500244,0.499756,1.000000,0.000244,0.496826,0.503174,0.999971,0.003174,73.035958,PASS,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job.",2026-05-16T17:21:46.966221+00:00
phase3_1_qrng_simulator,aer_simulator,4,1024,4096,0.516846,0.483154,0.999181,0.016846,0.485596,0.514404,0.999401,0.014404,70.232834,PASS,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job.",2026-05-16T17:21:47.038243+00:00
phase3_1_qrng_simulator,aer_simulator,4,4096,16384,0.501770,0.498230,0.999991,0.001770,0.500244,0.499756,1.000000,0.000244,76.534833,PASS,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job.",2026-05-16T17:21:47.121765+00:00
phase3_1_qrng_simulator,aer_simulator,8,1024,8192,0.500122,0.499878,1.000000,0.000122,0.498535,0.501465,0.999994,0.001465,70.719459,PASS,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job.",2026-05-16T17:21:47.195955+00:00
phase3_1_qrng_simulator,aer_simulator,8,4096,32768,0.500793,0.499207,0.999998,0.000793,0.502319,0.497681,0.999984,0.002319,79.354959,PASS,"Local Aer simulator only; no IBM token, authentication, backend query, or hardware job.",2026-05-16T17:21:47.288980+00:00
